Pathway,AMCF,genes
CREB_Pathway,1.0,ADCY1 ADCY2 ADCY3 AKT1 ANGPTL6 AREG ATF4 BDNF BMP1 BMP10 BMP15 BMP2 BMP3 BMP4 BMP5 BMP6 BMP7 BMP8A BTC CACNA1A CACNA1B CACNA1C CACNA1D CACNA1E CACNA1F CACNA1G CACNA1H CACNA1I CACNA1S CACNA2D1 CACNA2D2 CACNA2D3 CACNA2D4 CACNB1 CACNB2 CACNB3 CACNB4 CACNG1 CACNG2 CACNG3 CACNG4 CACNG5 CACNG6 CACNG7 CACNG8 CALM1 CALM2 CALM3 CAMK2A CAMK2B CAMK2D CAMK2G CAMK4 CLEC11A CLEC14A CREB1 CREB3 CREB3L4 CREBBP CTGF CXCL12 EGF EGFR ELK1 EP300 FGF1 FGF10 FGF11 FGF12 FGF13 FGF14 FGF16 FGF17 FGF18 FGF19 FGF2 FGF20 FGF21 FGF22 FGF23 FGF4 FGF5 FGF6 FGF7 FGF8 FGFR1 FGFR2 FGFR3 FGFR4 FIGF FLT1 FLT4 GAS1 GAS2 GAS6 GAS8 GDF1 GDF10 GDF15 GDF2 GDF5 GDF6 GDF9 GFER GH1 GH2 GHRH GLG1 GMFG GNA11 GNA12 GNA13 GNA14 GNA15 GNAI1 GNAI2 GNAI3 GNAL GNAO1 GNAQ GNAS GNAT1 GNAT2 GNAT3 GNAZ GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNG8 GNGT1 GNGT2 GNRH1 GNRH2 GPC6 GPR119 GRB2 GRIA1 GRIA2 GRIA3 GRIA4 GRID2 GRIK1 GRIK2 GRIK3 GRM1 GRM2 GRM3 GRM4 GRM5 GRM6 GRM7 GRM8 GTF2B HBEGF HDGF HGF HRAS IGF1 IGF1R IGF2 IGF2AS IGF2R IL2 IL2RA IL3 IL4 IL6 IL9 ITPR1 ITPR2 ITPR3 KDR KIT KITLG KLF10 LEFTY1 LEFTY2 LHB LTBP1 LTBP2 LTBP3 LTBP4 MAP2K1 MAP2K2 MAP2K3 MAP2K4 MAP2K5 MAP2K6 MAPK1 MAPK3 MDK MET NGF NGFR NRG1 NRG2 NRG3 NRG4 NRP1 NRP2 NTF3 NTF4 NTRK1 NTRK2 NTRK3 NUDT6 OGFR OGN P2RY13 PDGFA PDGFB PDGFC PDGFD PDGFRA PDGFRB PENK PGF PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PLCB1 PLCB2 PLCB3 PLCB4 PLCD1 PLCD3 PLCD4 PLCE1 PLCG1 PLCG2 PLCZ1 POLR2A POLR2B POLR2C PPAP2B PPBP PRKACA PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA PRKCB PRKCD PRKCE PRKCE PRKCG PRKCH PRKCI PRKCQ PRKCZ PRKD1 PRKD3 PSIP1 PTN RAF1 RPS6KA1 SEMA3A SEMA4B SEMA4G SEMA5A SOS1 SOS2 SPON1 TBP TBRG1 TDGF1 TGFA TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR3 THPO TIMP1 TIMP2 TIMP3 TIMP4 TYMP UTS2 VEGFA VEGFB VEGFC 
CREB_Pathway_Gene_Expression,0.0,ATF4 CALM1 CALM2 CALM3 CAMK2A CAMK2B CAMK2D CAMK2G CREB1 CREB3 CREB3L4 CREBBP EP300 GNA11 GNA12 GNA13 GNA14 GNA15 GNAI1 GRIA1 GRIA2 GRIA3 GRIA4 GRID2 GRIK1 GRIK2 GRIK3 GTF2B POLR2A POLR2B POLR2C PRKACA PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B TBP 
Cytokine_Network_Pathway,1.0,IFNA1 IFNA10 IFNA13 IFNA14 IFNA16 IFNA17 IFNA2 IFNA21 IFNA4 IFNA5 IFNA6 IFNA7 IFNA8 IFNB1 IFNG IL10 IL12A IL12B IL13 IL15 IL16 IL17A IL18 IL1A IL1B IL2 IL3 IL4 IL5 IL6 IL8 IL9 LTA TNF 
DNA_damage_induced_apoptosis_effect,0.0,ABL1 ATM ATR BLM BRCA1 CHEK1 CHEK2 E2F1 FANCD2 FANCL H2AFX NBN POLE PRKDC RAD9A TP53 
DNA_damage_induced_responses_effect,0.0,ABL1 ATM ATR BRCA1 CHEK1 CHEK2 PRKDC TP53 
DNA_Repair_Mechanisms_Pathway,1.0,APEX1 ARPC3 ATM ATR ATRIP BARD1 BRCA1 BRCA2 CCNO CHEK1 CHEK2 DCLRE1A ERCC1 ERCC2 ERCC3 ERCC4 ERCC5 ERCC6 ERCC8 FANCA FANCC FANCD2 FANCE FANCF FANCG FEN1 GADD45A GADD45B GADD45G GTF2H1 GTF2H2 GTF2H3 HUS1 IGF1 LIG1 LIG3 LIG4 MAPK10 MAPK11 MAPK12 MAPK13 MAPK14 MAPK8 MAPK9 MBD4 MDM2 MGMT MRE11A MSH2 MSH3 MSH6 NBN NTHL1 OGG1 PAPD7 PARP1 PCNA PNKP POLA1 POLB POLD1 POLD2 POLD4 POLE POLE2 POLE4 POLG POLH POLK POLQ POLR1A POLR1B POLR1C POLR1D POLR2A POLR2B POLR2C POLR3D POLR3F POLR3K PRKDC PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 RAD1 RAD17 RAD23B RAD50 RAD51 RAD52 RAD9A RPA2 RPA3 SMUG1 TP53 TREX1 TREX2 XAB2 XPA XPC XRCC1 XRCC4 XRCC5 XRCC6 
EGFR1_Pathway,1.0,ABI1 AKT1 AKT2 AKT3 ARAF BRAF CAV1 CAV2 CBL CDH1 CHUK CSK CTNNB1 DIRAS3 DOK2 EGF EGFR ELK1 EPS8 ERBB2 FOS GAB1 GRB2 HRAS IKBKB IKBKE IKBKG JAK1 JAK2 JUN KRAS MAP2K1 MAP2K2 MAP2K4 MAP2K7 MAP3K1 MAP3K10 MAPK1 MAPK10 MAPK3 MAPK8 MAPK9 MRAS MUC1 MYC NCK1 NCK2 NFKB1 NRAS PAK1 PDPK1 PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PLCG1 PRKCA PRKCB PRKCD PRKCE PRKCG PRKCH PRKCI PRKCQ PRKCZ PRKD1 PRKD3 PTK2 PXN RAB5A RAC1 RAF1 RASA1 RHOA RHOB RHOC RHOD RHOG RHOH RND2 RND3 RRAS RRAS2 SOS1 SOS2 SRC STAT1 STAT3 USP6NL VAV1 VAV2 VAV3 
ErbB_Family_Pathway,1.0,AKT1 ARAF AREG BRAF BTC CDC42 EGF EGFR ELK1 ERBB2 ERBB3 ERBB4 EREG FOS FOXO1 GRB2 GSK3B HBEGF HRAS JUN KRAS MAP2K1 MAP2K2 MAP2K3 MAP2K6 MAPK1 MAPK10 MAPK11 MAPK12 MAPK13 MAPK14 MAPK3 MAPK6 MAPK7 MAPK8 MAPK9 MRAS MTOR NCK1 NCK2 NRAS NRG1 NRG2 NRG3 NRG4 PAK1 PAK2 PAK3 PAK4 PAK6 PAK7 PDPK1 PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PLCG1 PLCG2 PRKCA PRKCB PRKCD PRKCE PRKCG PRKCH PRKCI PRKCQ PRKCZ PRKD1 PRKD3 RAF1 RPS6KB1 RRAS RRAS2 SOS1 SOS2 TGFA 
ErbB_Family_Pathway_Anti_Apoptosis,0.0,AKT1 FOXO1 GSK3B PDPK1 
ERK_Signaling_Pathway,1.0,AATK ACAN ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 ALK ANGPT1 ANGPT2 ANGPT4 ANGPTL1 ANGPTL6 APPA2 ARAF AREG ATF1 ATF4 AXL BAD BAX BCL2 BDNF BMP1 BMP10 BMP15 BMP2 BMP3 BMP4 BMP5 BMP6 BMP7 BMP8A BMP8B BRAF BRF1 BTC BTK CACNA1A CACNA1B CACNA1C CACNA1D CACNA1E CACNA1F CACNA1G CACNA1H CACNA1I CACNA1S CACNA2D1 CACNA2D2 CACNA2D3 CACNA2D4 CACNB1 CACNB2 CACNB3 CACNB4 CACNG1 CACNG2 CACNG3 CACNG4 CACNG5 CACNG6 CACNG7 CACNG8 CAPN1 CAPN10 CAPN11 CAPN2 CAPN3 CAPN5 CAPN6 CAPN7 CAPN9 CAPNS1 CCL1 CCL11 CCL13 CCL14 CCL15 CCL16 CCL17 CCL18 CCL19 CCL2 CCL20 CCL21 CCL22 CCL23 CCL24 CCL25 CCL26 CCL27 CCL28 CCL3 CCL3L1 CCL4 CCL4L1 CCL4L2 CCL5 CCL7 CCL8 CD2 CD247 CD3D CD3E CD3G CD40LG CD70 CD80 CER1 CHUK CLEC11A CNKSR1 COL10A1 COL11A1 COL11A2 COL12A1 COL13A1 COL14A1 COL15A1 COL16A1 COL17A1 COL18A1 COL19A1 COL1A1 COL1A2 COL20A1 COL21A1 COL22A1 COL23A1 COL24A1 COL25A1 COL27A1 COL2A1 COL3A1 COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL4A6 COL5A1 COL5A2 COL5A3 COL6A1 COL6A2 COL6A3 COL7A1 COL8A1 COL8A2 COL9A1 COL9A2 COL9A3 CREB1 CREB3 CREB3L4 CSF1 CSF1R CSF2 CSF3 CTGF CX3CL1 CXCL1 CXCL10 CXCL11 CXCL12 CXCL13 CXCL14 CXCL16 CXCL2 CXCL3 CXCL5 CXCL6 CXCL9 DAP DDR1 DDR2 DUSP1 DUSP3 ECM1 ECM2 EFEMP1 EFEMP2 EGF EGFR ELK1 ELK3 ELK4 ELN EPHA1 EPHA2 EPHA3 EPHA4 EPHA5 EPHA7 EPHA8 EPHB1 EPHB2 EPHB3 EPHB4 EPHB6 EPOR EPYC ERBB2 ERBB3 ERBB4 ESR1 ESR2 ETS1 ETS2 FASLG FBN1 FBN2 FBN3 FGF1 FGF10 FGF11 FGF12 FGF13 FGF14 FGF16 FGF17 FGF18 FGF19 FGF2 FGF20 FGF21 FGF22 FGF23 FGF4 FGF5 FGF6 FGF7 FGF8 FGFR1 FGFR2 FGFR3 FGFR4 FIGF FLT1 FLT3 FLT4 FN1 FOS FRAS1 FREM1 FREM2 FREM3 GAS1 GAS2 GAS6 GAS8 GDF1 GDF10 GDF15 GDF2 GDF5 GDF6 GDF9 GFER GH1 GH2 GHRH GMFG GNA11 GNA12 GNA13 GNA14 GNA15 GNAI1 GNAI2 GNAI3 GNAL GNAO1 GNAQ GNAS GNAT1 GNAT2 GNAZ GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNG8 GNGT1 GNGT2 GNRH1 GNRH2 GPC6 GRB2 H3F3A H3F3B HAPLN1 HAPLN2 HAPLN3 HAPLN4 HDGF HGF HIST1H3A HIST1H3B HIST1H3C HIST1H3D HIST1H3E HIST1H3F HIST1H3G HIST1H3H HIST1H3I HIST1H3J HIST2H3C HIST3H3 HMGN1 HRAS HSPG2 IGF1 IGF1R IGF2 IGF2AS IL10 IL11 IL12A IL12B IL13 IL15 IL16 IL17A IL18 IL19 IL1A IL1B IL2 IL20 IL21 IL22 IL23A IL24 IL26 IL3 IL4 IL5 IL6 IL7 IL8 IL9 IMPG1 IMPG2 INSR INSRR ITGA1 ITGA10 ITGA11 ITGA2 ITGA2B ITGA3 ITGA4 ITGA5 ITGA6 ITGA7 ITGA8 ITGA9 ITGAD ITGAE ITGAL ITGAM ITGAV ITGAX ITGB1 ITGB2 ITGB3 ITGB4 ITGB5 ITGB6 ITGB7 ITGB8 JUN KDR KIT KITLG KLF10 KRAS LAMA1 LAMA2 LAMA3 LAMA4 LAMA5 LAMB1 LAMB2 LAMB3 LAMB4 LAMC1 LAMC2 LAMC3 LAT LEFTY1 LEFTY2 LHB LIF LIFR LMTK2 LMTK3 LTA LTBP1 LTBP2 LTBP3 LTBP4 MAP2K1 MAP2K2 MAP3K1 MAPK1 MAPK3 MAPKSP1 MAX MDK MEPE MERTK MET MKNK1 MKNK2 MMRN2 MRAS MST1R MUSK MYC MYLK NCAN NFKB1 NFKBIA NGF NRAS NRG1 NRG2 NRG3 NRG4 NTF3 NTF4 NTRK1 NTRK2 NTRK3 NUDT6 OGN OSM PAK1 PAK2 PAK3 PAK4 PAK6 PAK7 PAX6 PDGFA PDGFB PDGFB PDGFC PDGFD PDGFRA PDGFRB PENK PF4 PF4V1 PGF PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PIP PLCB1 PLCB2 PLCB3 PLCB4 PLCG1 PPAP2B PPBP PPP1R10 PPP1R11 PPP1R12A PPP1R12B PPP1R12C PPP1R13B PPP1R14A PPP1R14B PPP1R15A PPP1R16A PPP1R1A PPP1R1B PPP1R2 PPP1R3A PPP1R3B PPP1R3C PPP1R3D PPP1R3E PPP1R3F PPP1R7 PPP1R8 PPP1R9A PPP1R9B PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5E PRG2 PRG4 PRKACA PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA PRKCB PRKCD PRKCE PRKCG PRKCH PRKCI PRKCQ PRKCZ PRKD1 PRKD3 PROK1 PSIP1 PTK2 PTK2B PTK7 PTN RAC1 RAF1 RAP1A RAP1B RAPGEF3 RET ROR1 ROR2 ROS1 RPS6KA1 RPS6KA2 RPS6KA3 RPS6KA4 RPS6KA5 RPS6KA6 RRAS RRAS2 RYK SEMA3A SEMA4B SEMA4G SEMA5A SMC3 SOS1 SOS2 SPOCK1 SPOCK2 SPOCK3 SPON1 SPON2 SPP1 SRC SRF STAT1 STAT3 TBRG1 TDGF1 TEK TGFA TGFB1 TGFB2 TGFB3 THPO TIE1 TIMP1 TIMP2 TIMP3 TIMP4 TNC TNF TNFSF10 TNFSF11 TNFSF12 TNFSF13 TNFSF13B TNFSF14 TNFSF18 TNFSF4 TNFSF8 TNFSF9 TP53 TP53BP2 TYMP TYRO3 UBTF UTS2 VCAN VEGFB VEGFC ZAP70 
Erythropoeitin_Pathway,1.0,AKT1 ATF4 BAD BCL2L1 CASP1 CASP3 CASP8 CASP9 CCND1 CDK2 CREB1 CREB3 CREB3L4 CRKL CSNK2A1 CSNK2A2 CSNK2B ELK1 EPO EPOR FOS FOXO1 FOXO3 GATA1 GNAI1 GNAI2 GNAI3 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNG8 GNGT1 GNGT2 GRB2 GSK3A GSK3B HRAS JAK2 JUN KRAS MAP2K1 MAP2K2 MAP2K3 MAP2K4 MAP2K5 MAP2K6 MAPK1 MAPK10 MAPK11 MAPK12 MAPK13 MAPK14 MAPK3 MAPK4 MAPK6 MAPK7 MAPK8 MAPK9 MRAS NFKB1 NFKB2 NFKBIA NFKBIB NFKBIE NRAS PDPK1 PIK3C2A PIK3C2G PIK3C3 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PIN1 PLCG1 PLCG2 PPP1R10 PPP1R11 PPP1R12A PPP1R12B PPP1R12C PPP1R13B PPP1R14A PPP1R14B PPP1R15A PPP1R16A PPP1R1A PPP1R1B PPP1R2 PPP1R3A PPP1R3B PPP1R3C PPP1R3D PPP1R3E PPP1R3F PPP1R7 PPP1R8 PPP1R9A PPP1R9B PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5E PRKCA PRKCA PRKCB PRKCD PRKCE PRKCG PRKCH PRKCI PRKCQ PRKCZ PRKD1 PRKD3 PTEN PTK2 PTPN6 RAC1 RAF1 RAPGEF1 RASA1 REL RELA RELB RhoA RPS6KA1 RPS6KA2 RPS6KA3 RPS6KA4 RPS6KA6 RRAS RRAS2 SOCS1 SOCS3 SOS1 SOS2 SRC STAT5A STAT5B SYK TIMP1 TP53BP2 VDAC1 VDAC2 VDAC3 
Estrogen_Pathway,1.0,AATK AKT1 AKT2 AKT3 ALK ANGPTL6 ARAF AREG ATF4 AXL BCL2 BDNF BMP1 BMP10 BMP2 BMP3 BMP4 BMP5 BMP6 BMP7 BMP8A BRAF BRCA1 BTC CCND1 CHUK CLEC11A CREB1 CREB3 CREB3L4 CREBBP CSF1R CTGF CXCL12 DDR1 DDR2 DDX17 EGF EGFR ELK1 EP300 EPHA1 EPHA2 EPHA3 EPHA4 EPHA5 EPHA7 EPHA8 EPHB1 EPHB2 EPHB3 EPHB4 EPHB6 EPOR ERBB2 ERBB3 ERBB4 ESR1 ESR2 FGF1 FGF10 FGF11 FGF12 FGF13 FGF14 FGF16 FGF17 FGF18 FGF19 FGF2 FGF20 FGF21 FGF22 FGF23 FGF4 FGF5 FGF6 FGF7 FGF8 FGFR1 FGFR2 FGFR3 FGFR4 FIGF FLT1 FLT3 FLT4 FOS GAS1 GAS2 GAS6 GAS8 GDF1 GDF10 GDF15 GDF2 GDF5 GDF6 GDF9 GFER GH1 GH2 GHRH GMFG GNA11 GNA12 GNA13 GNA14 GNA15 GNAI1 GNAI2 GNAI3 GNAL GNAO1 GNAQ GNAS GNAT1 GNAT2 GNAZ GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNG8 GNGT1 GNGT2 GNRH1 GNRH2 GPC6 GRB2 GTF2A1 GTF2A2 GTF2B GTF2E1 GTF2E2 GTF2F1 GTF2F2 GTF2H1 GTF2H2 GTF2H3 GTF2H4 GTF2H5 HDAC1 HDAC10 HDAC11 HDAC2 HDAC3 HDAC4 HDAC5 HDAC6 HDAC7 HDAC8 HDAC9 HDGF HGF HRAS IGF1 IGF1R IGF2 IGF2AS IKBKB IKBKE IKBKG IL2 IL3 IL6 IL9 INSR INSRR JUN KDR KIT KITLG KLF10 KRAS LEFTY1 LEFTY2 LHB LIFR LMTK2 LMTK3 LTBP1 LTBP2 LTBP3 LTBP4 MAP3K1 MAP3K2 MAP3K3 MAP3K4 MAP3K5 MAPK1 MAPK10 MAPK11 MAPK12 MAPK13 MAPK14 MAPK3 MAPK8 MAPK9 MDK MED1 MERTK MET MRAS MRGPRF MST1R MUSK NANOS3 NCOA1 NCOA2 NCOA3 NCOR1 NCOR2 NFKB1 NGF NR0B1 NRAS NRG1 NRG2 NRG3 NRG4 NRIP1 NTF3 NTF4 NTRK1 NTRK2 NTRK3 NUDT6 OGN PAPPA-AS1 PDGFA PDGFB PDGFC PDGFD PDGFRA PDGFRB PELP1 PENK PGF PHB2 PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 POLR1A POLR2A POLR2B POLR2C PPAP2B PPARGC1A PPBP PRKACA PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PROK1 PSIP1 PTK7 PTN RAF1 RET ROR1 ROR2 ROS1 RRAS RRAS2 RYK SEMA3A SEMA4B SEMA4G SEMA5A SIN3A SIN3B SOS1 SOS2 SP1 SPON1 SRA1 SRC TAF1 TAF10 TAF11 TAF12 TAF13 TAF15 TAF1A TAF1B TAF1C TAF1L TAF2 TAF3 TAF4 TAF5 TAF5L TAF6 TAF6L TAF7 TAF7L TAF9 TAF9B TBP TBRG1 TDGF1 TEK TGFA TGFB1 TGFB2 TGFB3 THPO TIE1 TIMP1 TIMP2 TIMP3 TIMP4 TYMP TYRO3 UBE3A UTS2 VEGFB VEGFC 
Fas_m_Signaling_Pathway,-1.0,APAF1 ARHGDIB BID BIRC2 BIRC3 BTK CASP1 CASP10 CASP2 CASP3 CASP7 CASP8 CASP8AP2 CASP9 CFLAR CRADD CYCS DAXX DFFA FADD FAF1 FAS FASLG JUN LMNA LMNB1 LMNB2 PAK1 PAK2 PARP1 PRKDC RB1 RIPK2 SMPD1 SMPD2 SMPD3 SUMO1 TNFRSF6B UBE2I 
Fas_p_Signaling_Pathway,1.0,CFLAR CHUK FADD FAS IKBKB IKBKE IKBKG MAP2K1 MAP2K4 MAP3K1 MAP3K14 MAP3K5 MAPK3 MAPK8 NFKB1 TRAF1 TRAF2 
FLT3_Signaling_Pathway,1.0,AKT1 ARAF ATF4 BAD BCL2 BRAF CBL CREB1 CREB3 CREB3L4 EIF4EBP1 ELK1 ELK3 ELK4 FLT3 FLT3LG GRB2 HRAS INPP5D KRAS MAP2K1 MAP2K2 MAP2K3 MAP2K4 MAP2K5 MAP2K6 MAPK1 MAPK11 MAPK12 MAPK13 MAPK14 MAPK3 MRAS MTOR NRAS PDPK1 PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PTPN11 RAF1 RPS6KA1 RPS6KA2 RPS6KA3 RPS6KA4 RPS6KA5 RPS6KA6 RPS6KB1 RPS6KB2 RPS6KC1 RRAS RRAS2 SHC1 SHC2 SHC3 STAT1 STAT2 STAT3 STAT4 STAT5A STAT5B STAT6 
Glucocorticoid_Receptor_Pathway,1.0,ANGPT1 ANGPT2 ANGPT4 ANGPTL1 ARC ARID1A ATF4 BAX BCL2 BMP1 BMP10 BMP15 BMP2 BMP3 BMP4 BMP5 BMP6 BMP7 BMP8B BTK CCL1 CCL11 CCL13 CCL14 CCL15 CCL16 CCL17 CCL18 CCL19 CCL2 CCL20 CCL21 CCL22 CCL23 CCL24 CCL25 CCL26 CCL27 CCL28 CCL3 CCL3L1 CCL4 CCL5 CCL7 CCL8 CD2 CD4 CD80 CDKN1A CEBPA CEBPB CREB1 CREB3 CREB3L4 CREBBP CSF2RB ELK1 EP300 FKBP4 FOS GRIP1 GTF2A1 GTF2A2 GTF2B GTF2E1 GTF2E2 GTF2F1 GTF2F2 GTF2H1 GTF2H2 GTF2H3 HDAC1 HDAC10 HDAC11 HDAC2 HDAC3 HDAC4 HDAC5 HDAC6 HDAC7 HDAC8 HDAC9 HELLS HLTF HSP90AA1 HSPA1A HSPA1B IL10 IL10RA IL10RB IL11 IL12A IL12B IL13 IL15 IL16 IL17A IL17RC IL18 IL18R1 IL19 IL1A IL1B IL1R1 IL2 IL20 IL22 IL23A IL24 IL26 IL2RA IL2RB IL2RG IL3 IL3RA IL4 IL4R IL5 IL6 IL6R IL7 IL7R IL8 IL9 IL9R JUN KAT2B MAPK1 MAPK10 MAPK11 MAPK12 MAPK13 MAPK14 MAPK3 MAPK8 MAPK9 MED13 MED16 MED24 NCOA1 NCOA3 NCOR1 NCOR2 NFKB1 NFKB2 NFKBIA NFKBIB NFKBIE NGFR NR3C1 PAPPA-AS1 POLR2A POLR2B POLR2C POU2F1 PTGES3 REL RELA RELB SIN3A SIN3B SLC22A2 SMAD3 SMAD4 SMARCA1 SMARCA2 SMARCA4 SMARCA5 SMARCAD1 SMARCAL1 SMARCB1 SMARCC1 SMARCC2 SMARCD1 SMARCD2 SMARCD3 SMARCE1 STAT5A STAT5B SUMO1 TAF1 TAF10 TAF11 TAF12 TAF13 TAF15 TAF1A TAF1B TAF1C TAF1L TAF2 TAF3 TAF4 TAF5 TAF5L TAF6 TAF6L TAF7 TAF7L TAF9 TAF9B TBP TGFB1 TGFBR1 THRAP3 TNFRSF10A TNFRSF10B TNFRSF10C TNFRSF10D TNFRSF13C TNFRSF17 TNFRSF18 TNFRSF1A TNFRSF1B TNFRSF25 TNFSF10 TNFSF13B UBE2I 
Glucocorticoid_Receptor_Pathway_Cell_Cycle_Arrest,0.0,CDKN1A CEBPA NR3C1 
Glucocorticoid_Receptor_Pathway_Cell_cycle_progression,0.0,CEBPB NR3C1 
Glucocorticoid_Receptor_Pathway_Gene_Expression,0.0,ARC ARID1A ATF4 CREB1 CREB3 CREB3L4 CREBBP EP300 GTF2A1 GTF2A2 GTF2B GTF2E1 GTF2E2 GTF2F1 GTF2F2 GTF2H1 GTF2H2 GTF2H3 HDAC1 HDAC10 HDAC11 HDAC2 HDAC3 HDAC4 HDAC5 HDAC6 HDAC7 HDAC8 HDAC9 HELLS HLTF MED16 MED24 NCOA1 NCOA3 NCOR1 NCOR2 NR3C1 PAPPA-AS1 POLR2A POLR2B POLR2C POU2F1 SLC22A2 SMARCA1 SMARCA2 SMARCA4 SMARCA5 SMARCAD1 SMARCAL1 SMARCB1 SMARCC1 SMARCC2 SMARCD1 SMARCD2 SMARCD3 SMARCE1 STAT5A STAT5B TAF1 TAF10 TAF11 TAF12 TAF13 TAF15 TAF1A TAF1B TAF1C TAF1L TAF2 TAF3 TAF4 TAF5 TAF5L TAF6 TAF6L TAF7 TAF7L TAF9 TAF9B TBP THRAP3 
Glucocorticoid_Receptor_Pathway_Inflammatory_Cytokines,0.0,ANGPT1 ANGPT1 ANGPT4 ANGPTL1 ANGPTL1 BAX BCL2 BMP1 BMP10 BMP15 BMP2 BMP3 BMP4 BMP6 BMP7 BMP8B BTK CCL1 CCL11 CCL13 CCL14 CCL15 CCL16 CCL17 CCL18 CCL19 CCL2 CCL20 CCL21 CCL22 CCL23 CCL24 CCL25 CCL26 CCL27 CCL28 CCL3 CCL3L1 CCL4 CCL5 CCL7 CCL8 CD2 CD4 CSF2RB ELK1 FKBP4 FOS IL10 IL10RA IL10RB IL11 IL12A IL12B IL13 IL15 IL16 IL17A IL17RC IL18 IL18R1 IL19 IL1A IL1B IL1R1 IL2 IL20 IL20 IL23A IL24 IL2RA IL2RB IL2RG IL3 IL3RA IL4 IL4R IL5 IL6 IL6R IL7 IL7R IL8 IL9 IL9R JUN MAPK10 MAPK11 MAPK12 MAPK13 MAPK14 MAPK8 MAPK9 NFKB1 NFKB2 NFKBIA NFKBIB NFKBIE NGFR NR3C1 REL RELA RELB SUMO1 TNFRSF10A TNFRSF10B TNFRSF10C TNFRSF10D TNFRSF13C TNFRSF17 TNFRSF18 TNFRSF1A TNFRSF1B TNFRSF25 TNFSF10 TNFSF13B UBE2I 
Glucocorticoid_Receptor_Pathway_SMAD_signaling,0.0,HSP90AA1 HSPA1A HSPA1B NR3C1 PTGES3 SMAD3 SMAD4 SUMO1 TGFB1 TGFBR1 UBE2I 
